"Product Code","Product Name",variant,expected,counted
1329G80,1329G80,,0.0000,
1345B70,1345B70,,0.0000,
5%,"Discount 5%",,1.0000,
B140007,B140007,,0.0000,
BG0002702,BG0002702,,0.0000,
BG001031,BG001031,,0.0000,
BG001267,BG001267,,0.0000,
BG00144,BG00144,,0.0000,
BG001702,BG001702,,0.0000,
BG001705,BG001705,,1.0000,
BG001706,BG001706,,0.0000,
BG00174,"174 BAG",,6.0000,
BG001996,"1996 BAG",,10.0000,
BG001997,"1997 BAG",,10.0000,
BG001999,"1999 BAG",,20.0000,
BG002714,BG002714,,0.0000,
BG002900,BG002900,,6.0000,
BG003095,BG003095,,0.0000,
BG005159,BG005159,,4.0000,
BG006018,BG006018,,0.0000,
BG006021,BG006021,,0.0000,
BG006118,BG006118,,0.0000,
BG008038,BG008038,,6.0000,
BG008039,BG008039,,0.0000,
BG008138,BG008138,,0.0000,
BG008144,BG008144,,0.0000,
BG008146B,BG008146B,,15.0000,
BG008146S,BG008146S,,5.0000,
BG00880,BG00880,,0.0000,
BG009035,BG009035,,1.0000,
BG009982,BG009982,,6.0000,
BG00BP010,BG00BP010,,0.0000,
BG00C2702,BG00C2702,,0.0000,
BG00C2785,"C2785 BAG",,10.0000,
BG00J172,BG00J172,,-16.0000,
BG0B0079,BG0B0079,,0.0000,
BG0B0577,BG0B0577,,1.0000,
BG0B1139,BG0B1139,,13.0000,
BG0B1701,BG0B1701,,0.0000,
BG0B3024,BG0B3024,,0.0000,
BG0B4105,BG0B4105,,0.0000,
BG0B511,BG0B511,,45.0000,
BG0B6041,BG0B6041,,8.0000,
BG0B636,BG0B636,,0.0000,
BG0B645,BG0B645,,0.0000,
BG0B667,BG0B667,,9.0000,
BG0B719,BG0B719,,0.0000,
BG0B720,BG0B720,,0.0000,
BG0B8038,BG0B8038,,0.0000,
BG0B8039,BG0B8039,,1.0000,
BG0B8086,BG0B8086,,2.0000,
BG0B8088,BG0B8088,,0.0000,
BG0B8123,BG0B8123,,0.0000,
BG0B8137,BG0B8137,,0.0000,
BG0B8138,BG0B8138,,2.0000,
BG0B881,BG0B881,,0.0000,
BG0B882,BG0B882,,0.0000,
BG0B889,BG0B889,,10.0000,
BG0B983,BG0B983,,0.0000,
BG0BA513,BG0BA513,,14.0000,
BG0BB59,BG0BB59,,0.0000,
BG0BBP003,BG0BBP003,,0.0000,
BG0BC2017,BG0BC2017,,5.0000,
BG0BE3572,BG0BE3572,,0.0000,
BG0BF613,BG0BF613,,0.0000,
BG0BT619,BG0BT619,,8.0000,
BG0F525,BG0F525,,0.0000,
BG0F887,BG0F887,,0.0000,
BG0G1069,BG0G1069,,1.0000,
BG0G1707,BG0G1707,,0.0000,
BG0G176,"176 GRAY BAG",,7.0000,
BG0G2879,BG0G2879,,1.0000,
BG0G5088,BG0G5088,,6.0000,
BG0G511,BG0G511,,3.0000,
BG0G5182,BG0G5182,,0.0000,
BG0G6028,BG0G6028,,1.0000,
BG0G6038,BG0G6038,,1.0000,
BG0G6041,BG0G6041,,4.0000,
BG0G6050,BG0G6050,,0.0000,
BG0G612,BG0G612,,0.0000,
BG0G636,BG0G636,,0.0000,
BG0G645,BG0G645,,0.0000,
BG0G8078,BG0G8078,,0.0000,
BG0G8084,BG0G8084,,0.0000,
BG0G8123,BG0G8123,,1.0000,
BG0G8150,BG0G8150,,2.0000,
BG0G881,BG0G881,,3.0000,
BG0G974,BG0G974,,1.0000,
BG0G983,BG0G983,,1.0000,
BG0GA513,BG0GA513,,18.0000,
BG0GF613,BG0GF613,,0.0000,
BG0GG038,BG0GG038,,0.0000,
